problem,prover,mode,expected,result,time_s,pass
GRND001,Vampire 5.0,portfolio,Satisfiable,Satisfiable,0.781,PASS
GRND002,Vampire 5.0,casc,Theorem,Theorem,0.069,PASS
GRND003,Vampire 5.0,casc,Theorem,Theorem,0.065,PASS
GRND004,Vampire 5.0,casc,Theorem,Theorem,0.066,PASS
GRND005,Vampire 5.0,casc,Unsatisfiable,Unsatisfiable,0.064,PASS
GRND006,Vampire 5.0,casc,Theorem,Theorem,0.092,PASS
GRND007-open,Vampire 5.0,casc,Theorem,Theorem,0.063,PASS
GRND007-closed,Vampire 5.0,portfolio,Satisfiable,Satisfiable,0.475,PASS
GRND008-sanctioned,Vampire 5.0,casc,Theorem,Theorem,0.068,PASS
GRND008-regimented,Vampire 5.0,casc,Unsatisfiable,Unsatisfiable,0.063,PASS
GRND009-immunity,Vampire 5.0,casc,Unsatisfiable,Unsatisfiable,0.063,PASS
GRND009-no-immunity,Vampire 5.0,casc,Unsatisfiable,Unsatisfiable,0.064,PASS
GRND010-strong-perm,Vampire 5.0,casc,Theorem,Theorem,0.064,PASS
GRND011-obl-relator,Vampire 5.0,casc,Theorem,Theorem,0.064,PASS
GRND012-corr-duty,Vampire 5.0,casc,Theorem,Theorem,0.092,PASS
GRND013-corr-power,Vampire 5.0,casc,Theorem,Theorem,0.094,PASS
GRND014-corr-immunity,Vampire 5.0,casc,Theorem,Theorem,0.095,PASS
GRND015-unique-founding,Vampire 5.0,casc,Theorem,Theorem,0.064,PASS
GRND016-conflict-relator,Vampire 5.0,casc,Unsatisfiable,Unsatisfiable,0.062,PASS
GRND017-violation-chain,Vampire 5.0,casc,Theorem,Theorem,0.067,PASS
GRND018-about-event,Vampire 5.0,casc,Theorem,Theorem,0.065,PASS
GRND019-two-policy-conflict,Vampire 5.0,casc,Unsatisfiable,Unsatisfiable,0.064,PASS
GRND020-strong-perm-full-h2,Vampire 5.0,casc,Unsatisfiable,Unsatisfiable,0.064,PASS
GRND021-remedy-chain,Vampire 5.0,casc,Theorem,Theorem,0.067,PASS
GRND022-corr-nonunique,Vampire 5.0,casc,Unsatisfiable,Unsatisfiable,0.065,PASS
GRND023-policy-issuance,Vampire 5.0,casc,Theorem,Theorem,0.062,PASS
GRND024-obl-proh-coexist,Vampire 5.0,portfolio,Satisfiable,Satisfiable,0.476,PASS
GRND025-unique-founding-rem,Vampire 5.0,casc,Theorem,Theorem,0.064,PASS
GRND026-unique-founding-imm,Vampire 5.0,casc,Theorem,Theorem,0.063,PASS
GRND027-unique-event-rem,Vampire 5.0,casc,Theorem,Theorem,0.063,PASS
GRND028-unique-event-imm,Vampire 5.0,casc,Theorem,Theorem,0.062,PASS
GRND029-b2-power-about-event,Vampire 5.0,casc,Theorem,Theorem,0.062,PASS
GRND030-b3-subjection-about-event,Vampire 5.0,casc,Theorem,Theorem,0.062,PASS
GRND031-odrl-rel-is-legal-rel,Vampire 5.0,casc,Theorem,Theorem,0.061,PASS
GRND032-odrl-rel-typing-rem,Vampire 5.0,casc,Theorem,Theorem,0.061,PASS
GRND033-odrl-rel-typing-imm,Vampire 5.0,casc,Theorem,Theorem,0.061,PASS
GRND034-disability-exists,Vampire 5.0,casc,Theorem,Theorem,0.064,PASS
GRND001,Z3 4.12.2,default,sat,sat-timeout,10.099,PASS
GRND002,Z3 4.12.2,default,unsat,unsat,0.062,PASS
GRND003,Z3 4.12.2,default,unsat,unsat,0.062,PASS
GRND004,Z3 4.12.2,default,unsat,unsat,0.064,PASS
GRND005,Z3 4.12.2,default,unsat,unsat,0.06,PASS
GRND006,Z3 4.12.2,default,unsat,unsat,0.062,PASS
GRND007-open,Z3 4.12.2,default,unsat,timeout,10.12,FAIL
GRND007-closed,Z3 4.12.2,default,sat,sat-timeout,10.057,PASS
GRND008-sanctioned,Z3 4.12.2,default,unsat,unsat,0.063,PASS
GRND008-regimented,Z3 4.12.2,default,unsat,unsat,0.058,PASS
GRND009-immunity,Z3 4.12.2,default,unsat,unsat,0.058,PASS
GRND009-no-immunity,Z3 4.12.2,default,unsat,unsat,0.058,PASS
GRND010-strong-perm,Z3 4.12.2,default,unsat,unsat,0.072,PASS
GRND011-obl-relator,Z3 4.12.2,default,unsat,unsat,0.059,PASS
GRND012-corr-duty,Z3 4.12.2,default,unsat,unsat,0.337,PASS
GRND013-corr-power,Z3 4.12.2,default,unsat,unsat,0.072,PASS
GRND014-corr-immunity,Z3 4.12.2,default,unsat,unsat,0.063,PASS
GRND015-unique-founding,Z3 4.12.2,default,unsat,unsat,0.057,PASS
GRND016-conflict-relator,Z3 4.12.2,default,unsat,unsat,0.058,PASS
GRND017-violation-chain,Z3 4.12.2,default,unsat,unsat,0.061,PASS
GRND018-about-event,Z3 4.12.2,default,unsat,unsat,0.061,PASS
GRND019-two-policy-conflict,Z3 4.12.2,default,unsat,unsat,0.069,PASS
GRND020-strong-perm-full-h2,Z3 4.12.2,default,unsat,unsat,0.08,PASS
GRND021-remedy-chain,Z3 4.12.2,default,unsat,unsat,0.062,PASS
GRND022-corr-nonunique,Z3 4.12.2,default,unsat,unsat,0.069,PASS
GRND023-policy-issuance,Z3 4.12.2,default,unsat,unsat,0.057,PASS
GRND024-obl-proh-coexist,Z3 4.12.2,default,sat,sat-timeout,10.131,PASS
GRND025-unique-founding-rem,Z3 4.12.2,default,unsat,unsat,0.062,PASS
GRND026-unique-founding-imm,Z3 4.12.2,default,unsat,unsat,0.056,PASS
GRND027-unique-event-rem,Z3 4.12.2,default,unsat,unsat,0.057,PASS
GRND028-unique-event-imm,Z3 4.12.2,default,unsat,unsat,0.057,PASS
GRND029-b2-power-about-event,Z3 4.12.2,default,unsat,unsat,0.058,PASS
GRND030-b3-subjection-about-event,Z3 4.12.2,default,unsat,unsat,0.057,PASS
GRND031-odrl-rel-is-legal-rel,Z3 4.12.2,default,unsat,unsat,0.057,PASS
GRND032-odrl-rel-typing-rem,Z3 4.12.2,default,unsat,unsat,0.057,PASS
GRND033-odrl-rel-typing-imm,Z3 4.12.2,default,unsat,unsat,0.057,PASS
GRND034-disability-exists,Z3 4.12.2,default,unsat,unsat,0.071,PASS
GRND002,E 3.2.5,auto-schedule,Theorem,Theorem,0.061,PASS
GRND003,E 3.2.5,auto-schedule,Theorem,Theorem,0.053,PASS
GRND004,E 3.2.5,auto-schedule,Theorem,Theorem,0.054,PASS
GRND005,E 3.2.5,auto-schedule,Unsatisfiable,Unsatisfiable,0.051,PASS
GRND006,E 3.2.5,auto-schedule,Theorem,Theorem,0.129,PASS
GRND007-open,E 3.2.5,auto-schedule,Theorem,Theorem,0.053,PASS
GRND008-sanctioned,E 3.2.5,auto-schedule,Theorem,Theorem,0.053,PASS
GRND008-regimented,E 3.2.5,auto-schedule,Unsatisfiable,Unsatisfiable,0.051,PASS
GRND009-immunity,E 3.2.5,auto-schedule,Unsatisfiable,Unsatisfiable,0.051,PASS
GRND009-no-immunity,E 3.2.5,auto-schedule,Unsatisfiable,Unsatisfiable,0.053,PASS
GRND010-strong-perm,E 3.2.5,auto-schedule,Theorem,Theorem,0.054,PASS
GRND011-obl-relator,E 3.2.5,auto-schedule,Theorem,Theorem,0.053,PASS
GRND012-corr-duty,E 3.2.5,auto-schedule,Theorem,Theorem,0.133,PASS
GRND013-corr-power,E 3.2.5,auto-schedule,Theorem,Theorem,0.104,PASS
GRND014-corr-immunity,E 3.2.5,auto-schedule,Theorem,Theorem,0.11,PASS
GRND015-unique-founding,E 3.2.5,auto-schedule,Theorem,Theorem,0.051,PASS
GRND016-conflict-relator,E 3.2.5,auto-schedule,Unsatisfiable,Unsatisfiable,0.051,PASS
GRND017-violation-chain,E 3.2.5,auto-schedule,Theorem,Theorem,0.055,PASS
GRND018-about-event,E 3.2.5,auto-schedule,Theorem,Theorem,0.054,PASS
GRND019-two-policy-conflict,E 3.2.5,auto-schedule,Unsatisfiable,Unsatisfiable,0.052,PASS
GRND020-strong-perm-full-h2,E 3.2.5,auto-schedule,Unsatisfiable,Unsatisfiable,0.053,PASS
GRND021-remedy-chain,E 3.2.5,auto-schedule,Theorem,Theorem,0.055,PASS
GRND022-corr-nonunique,E 3.2.5,auto-schedule,Unsatisfiable,Unsatisfiable,0.061,PASS
GRND023-policy-issuance,E 3.2.5,auto-schedule,Theorem,Theorem,0.05,PASS
GRND025-unique-founding-rem,E 3.2.5,auto-schedule,Theorem,Theorem,0.05,PASS
GRND026-unique-founding-imm,E 3.2.5,auto-schedule,Theorem,Theorem,0.05,PASS
GRND027-unique-event-rem,E 3.2.5,auto-schedule,Theorem,Theorem,0.051,PASS
