benchmark,name,prover,encoding,expected,actual,match,time_s,error
ODRL080,alignment-conflict-preservation-baseline,vampire,tptp,Theorem,Theorem,True,0.139,
ODRL080,alignment-conflict-preservation-baseline,z3,smt2,unsat,unsat,True,6.572,
ODRL081,aligned-disjointness-transfer-dE-pL,vampire,tptp,Theorem,Theorem,True,0.123,
ODRL081,aligned-disjointness-transfer-dE-pL,z3,smt2,unsat,unsat,True,2.462,
ODRL082,lemma3-denotation-transfer-derivability,vampire,tptp,Theorem,Theorem,True,0.066,
ODRL082,lemma3-denotation-transfer-derivability,z3,smt2,unsat,unsat,True,0.066,
ODRL083,aligned-compatible-isPartOf-europe-eq-dE,vampire,tptp,Theorem,Theorem,True,0.062,
ODRL083,aligned-compatible-isPartOf-europe-eq-dE,z3,smt2,unsat,unsat,True,0.063,
ODRL084,subsumption-preservation-dE-europe,vampire,tptp,Theorem,Theorem,True,0.064,
ODRL084,subsumption-preservation-dE-europe,z3,smt2,unsat,unsat,True,0.066,
ODRL085,graceful-degradation-unmapped-westernEurope,z3,smt2,sat,sat,True,8.851,
ODRL086,cross-kb-conflict-eq-dE-eq-fR,vampire,tptp,Theorem,Theorem,True,0.067,
ODRL086,cross-kb-conflict-eq-dE-eq-fR,z3,smt2,unsat,unsat,True,0.062,
ODRL087,aligned-isAnyOf-dE-fR-isPartOf-europe,vampire,tptp,Theorem,Theorem,True,0.064,
ODRL087,aligned-isAnyOf-dE-fR-isPartOf-europe,z3,smt2,unsat,unsat,True,0.065,
ODRL088,downward-asymmetry-flat-ISO-no-disjointness,z3,smt2,sat,sat,True,0.063,
ODRL089,upward-asymmetry-data-without-theory,z3,smt2,sat,sat,True,14.470,
ODRL089,positive-control-rich-multi-KB,vampire,tptp,Theorem,Theorem,True,0.106,
ODRL089,positive-control-rich-multi-KB,z3,smt2,unsat,unsat,True,0.171,
